,id,Chinese_name,belonging,type,price
76,42149,USP 消音版 | 血虎 (崭新出厂),电竞 2014 夏季,军规,12.1
77,39765,USP 消音版（StatTrak™） | 不锈钢 (崭新出厂),军火交易 3 号,军规,306
78,42211,USP 消音版 | 绿色伞兵 (崭新出厂),解体厂,工业,29
79,42161,USP 消音版 | 凯门鳄 (崭新出厂),猎杀者,保密,82
80,42221,USP 消音版 | 宝蓝之色 (崭新出厂),古堡激战,工业,106
81,39749,USP 消音版（StatTrak™） | 黑色魅影 (崭新出厂),光谱,隐秘,787.38
82,42173,USP 消音版 | 森林之叶 (崭新出厂),安全处所,工业,5.21
83,45468,USP 消音版（StatTrak™） | 脑洞大开 (崭新出厂),命悬一线,保密,225
84,39724,USP 消音版（StatTrak™） | 凯门鳄 (崭新出厂),猎杀者,保密,231.95
85,39744,USP 消音版（StatTrak™） | 铅管 (崭新出厂),野火,军规,55.5
86,761401,USP 消音版（纪念品） | 引擎故障灯 (崭新出厂),2018 炼狱小镇,军规,140
87,38111,USP 消音版（纪念品） | 公路杀手 (崭新出厂),死亡游乐园,受限,999.5
88,39739,USP 消音版（StatTrak™） | 枪响人亡 (崭新出厂),暗影,隐秘,3388.88
89,38116,USP 消音版（纪念品） | 宝蓝之色 (崭新出厂),古堡激战,工业,1350
90,39757,USP 消音版（StatTrak™） | 疯狂蔓延 (崭新出厂),英勇,受限,1380
91,38107,USP 消音版（纪念品） | 午夜行动 (崭新出厂),湖畔激战,军规,2199
92,38742,格洛克 18 型（StatTrak™） | 水灵 (崭新出厂),突围,保密,170
93,45257,格洛克 18 型 | 城里的月光 (崭新出厂),命悬一线,受限,6.68
94,762075,格洛克 18 型 | 远光灯 (崭新出厂),2018 炼狱小镇,工业,1.45
95,38704,格洛克 18 型（StatTrak™） | 本生灯 (崭新出厂),弯曲猎手,军规,23.4
96,35006,格洛克 18 型 | 红苹果 (崭新出厂),意大利小镇,军规,5.03
97,35022,格洛克 18 型 | 粉碎者 (崭新出厂),先锋,受限,7.94
98,762185,格洛克 18 型 | 核子花园 (崭新出厂),2018 核子危机,受限,60.2
99,763294,格洛克 18 型 | 锈蚀烈焰 (崭新出厂),头号特训,军规,1.7
100,761349,格洛克 18 型（纪念品） | 远光灯 (崭新出厂),2018 炼狱小镇,工业,25.9
101,34998,格洛克 18 型 | 黄铜 (崭新出厂),炙热沙城,受限,74.69
102,35018,格洛克 18 型 | 黑龙纹身 (崭新出厂),军火交易,受限,174.9
103,35072,格洛克 18 型 | 水灵 (崭新出厂),突围,保密,49.78
104,35041,格洛克 18 型 | 异星世界 (崭新出厂),光谱 2 号,军规,3.59
105,779275,格洛克 18 型 | 子弹皇后 (崭新出厂),棱彩2号,隐秘,404.5
106,38715,格洛克 18 型（StatTrak™） | 粉碎者 (崭新出厂),先锋,受限,34.9
107,35051,格洛克 18 型 | 皇家军团 (崭新出厂),野火,受限,21.86
108,35082,格洛克 18 型 | 幻影冥魂 (崭新出厂),暗影,军规,2.69
109,45311,格洛克 18 型（StatTrak™） | 城里的月光 (崭新出厂),命悬一线,受限,27
110,38733,格洛克 18 型（StatTrak™） | 钢铁禁锢 (崭新出厂),电竞 2014 夏季,受限,29.9
111,35010,格洛克 18 型 | 亡者之寝 (崭新出厂),幻彩,军规,1.98
112,35020,格洛克 18 型 | 渐变之色 (崭新出厂),仓库突击,受限,4997.5
113,835906,格洛克 18 型 | 黑色魅影 (崭新出厂),“狂牙大行动”,隐秘,511
114,763401,格洛克 18 型（StatTrak™） | 锈蚀烈焰 (崭新出厂),头号特训,军规,10.5
115,35031,格洛克 18 型 | 铁之作 (崭新出厂),手套,军规,2.97
116,35067,格洛克 18 型 | 荒野反叛 (崭新出厂),伽玛,隐秘,45.09
117,35060,格洛克 18 型 | 钢铁禁锢 (崭新出厂),电竞 2014 夏季,受限,9
118,773717,格洛克 18 型 | 烈焰天使 (崭新出厂),CS20,军规,7.11
119,759257,格洛克 18 型 | 战鹰 (崭新出厂),地平线,军规,4.87
120,38719,格洛克 18 型（StatTrak™） | 铁之作 (崭新出厂),手套,军规,18.3
121,781610,格洛克 18 型 | 摩登时代 (崭新出厂),裂空,保密,88.88
122,835647,格洛克 18 型 | 富兰克林 (崭新出厂),浩劫,受限,185
123,35003,格洛克 18 型 | 本生灯 (崭新出厂),弯曲猎手,军规,3.86
124,35077,格洛克 18 型 | 鼬鼠 (崭新出厂),伽玛 2 号,受限,14.4
125,835783,格洛克 18 型（StatTrak™） | 黑色魅影 (崭新出厂),“狂牙大行动”,隐秘,1715.95
126,38709,格洛克 18 型（StatTrak™） | 亡者之寝 (崭新出厂),幻彩,军规,10.4
127,38737,格洛克 18 型（StatTrak™） | 荒野反叛 (崭新出厂),伽玛,隐秘,178
128,38713,格洛克 18 型（StatTrak™） | 黑龙纹身 (崭新出厂),军火交易,受限,349.89
129,34993,格洛克 18 型 | 蓝色裂纹 (崭新出厂),军火交易 3 号,军规,35.38
130,35046,格洛克 18 型 | 核子反应 (崭新出厂),死城之谜,军规,36
131,35063,格洛克 18 型 | 暮光星系 (崭新出厂),解体厂,保密,166
132,38724,格洛克 18 型（StatTrak™） | 异星世界 (崭新出厂),光谱 2 号,军规,19.58
133,781706,格洛克 18 型（StatTrak™） | 摩登时代 (崭新出厂),裂空,保密,270
134,38747,格洛克 18 型（StatTrak™） | 鼬鼠 (崭新出厂),伽玛 2 号,受限,51.36
135,773748,格洛克 18 型（StatTrak™） | 烈焰天使 (崭新出厂),CS20,军规,35
136,38729,格洛克 18 型（StatTrak™） | 皇家军团 (崭新出厂),野火,受限,118.88
137,38752,格洛克 18 型（StatTrak™） | 幻影冥魂 (崭新出厂),暗影,军规,19.25
138,776585,格洛克 18 型 | 合成叶 (崭新出厂),圣马克镇,受限,284.49
139,779414,格洛克 18 型（StatTrak™） | 子弹皇后 (崭新出厂),棱彩2号,隐秘,1548.5
140,38700,格洛克 18 型（StatTrak™） | 蓝色裂纹 (崭新出厂),军火交易 3 号,军规,299.39
141,759371,格洛克 18 型（StatTrak™） | 战鹰 (崭新出厂),地平线,军规,24
142,37697,格洛克 18 型（纪念品） | 核子反应 (崭新出厂),死城之谜,军规,535
143,35036,格洛克 18 型 | 噩梦之夜 (崭新出厂),死亡游乐园,工业,68.39
144,37687,格洛克 18 型（纪念品） | 地下水 (崭新出厂),荒漠迷城,工业,287.99
145,35026,格洛克 18 型 | 地下水 (崭新出厂),荒漠迷城,工业,90
146,37692,格洛克 18 型（纪念品） | 噩梦之夜 (崭新出厂),死亡游乐园,工业,162.05
147,761558,格洛克 18 型（纪念品） | 核子花园 (崭新出厂),2018 核子危机,受限,1111
148,37683,格洛克 18 型（纪念品） | 红苹果 (崭新出厂),意大利小镇,军规,1850
149,35056,格洛克 18 型 | 沙丘之黄 (崭新出厂),无畏,工业,220
150,36017,P250 | 富兰克林 (崭新出厂),金库危机,保密,10.3
151,763273,P250 | 影魔 (崭新出厂),头号特训,受限,6.14
152,36062,P250 | 红岩 (崭新出厂),“九头蛇大行动”,受限,29.69
153,773710,P250 | 炼狱小镇 (崭新出厂),CS20,受限,6.11
154,781536,P250 | 卡带 (崭新出厂),裂空,军规,1.71
155,835397,P250 | 污染物 (崭新出厂),“狂牙大行动”,军规,2.89
156,774716,P250 | 暗之镂刻 (崭新出厂),运河水城,工业,4.88
157,35998,P250 | 卡特尔 (崭新出厂),先锋,保密,50.8
158,762141,P250 | 交换机 (崭新出厂),2018 核子危机,军规,3.73
159,36077,P250 | 生化短吻鳄 (崭新出厂),光谱 2 号,隐秘,65.79
160,37888,P250（纪念品） | 核子污染 (崭新出厂),死城之谜,工业,27.4
161,36042,P250 | 日式薄荷涂装 (崭新出厂),旭日,消费,7
162,36039,P250 | 金属 DDPAT (崭新出厂),列车停放站,工业,1.38
163,36087,P250 | 超新星 (崭新出厂),突围,受限,5.85
164,769203,P250 | 铜绿 (崭新出厂),棱彩,军规,1.99
165,36091,P250 | 暗潮 (崭新出厂),军火交易 3 号,保密,194
166,769235,P250（StatTrak™） | 铜绿 (崭新出厂),棱彩,军规,6.23
167,773423,P250 | 伦琴射线 (崭新出厂),['Na'],受限,3.2
168,781638,P250（StatTrak™） | 卡带 (崭新出厂),裂空,军规,9.88
